date,week,location_id,name,location_resolution,state_of_emergency,shelter_in_place,days_since_1st_case,date_of_1st_case,collapsed_measure
2020-01-05,0,11,District of Columbia,state,2020-03-11,2020-04-01,-62,2020-03-07,1.1232837770153397
2020-01-05,0,22,Louisiana,state,2020-03-11,2020-03-23,-64,2020-03-09,2.267091011059249
2020-01-05,0,35,New Mexico,state,2020-03-11,2020-03-24,-66,2020-03-11,1.0245408062963843
2020-01-05,0,20,Kansas,state,2020-03-12,2020-03-30,-62,2020-03-07,0.918967544601069
2020-01-05,0,30,Montana,state,2020-03-12,2020-03-28,-68,2020-03-13,0.9316070441640769
2020-01-05,0,32,Nevada,state,2020-03-12,2020-03-31,-60,2020-03-05,0.8230484754284632
2020-01-05,0,47,Tennessee,state,2020-03-12,2020-04-02,-60,2020-03-05,0.9165502533033681
2020-01-05,0,51,Virginia,state,2020-03-12,2020-03-30,-62,2020-03-07,0.9238193458428716
2020-01-05,0,55,Wisconsin,state,2020-03-12,2020-03-25,-31,2020-02-05,0.8100566195067757
2020-01-05,0,01,Alabama,state,2020-03-13,2020-04-04,-68,2020-03-13,0.919067999149724
2020-01-05,0,10,Delaware,state,2020-03-13,2020-03-24,-66,2020-03-11,0.8023864719706144
2020-01-05,0,16,Idaho,state,2020-03-13,2020-03-25,-68,2020-03-13,0.9245097399067306
2020-01-05,0,27,Minnesota,state,2020-03-13,2020-03-27,-61,2020-03-06,0.9204670364651552
2020-01-05,0,29,Missouri,state,2020-03-13,2020-04-06,-62,2020-03-07,0.8552604741475475
2020-01-05,0,31,Nebraska,state,2020-03-13,,-43,2020-02-17,0.8136670260272253
2020-01-05,0,33,New Hampshire,state,2020-03-13,2020-03-27,-57,2020-03-02,0.9733378124409892
2020-01-05,0,38,North Dakota,state,2020-03-13,,-66,2020-03-11,0.8638968254841339
2020-01-05,0,45,South Carolina,state,2020-03-13,2020-04-07,-61,2020-03-06,1.0755124183441849
2020-01-05,0,46,South Dakota,state,2020-03-13,,-65,2020-03-10,0.8253834682970126
2020-01-05,0,50,Vermont,state,2020-03-13,2020-03-25,-62,2020-03-07,0.9276355327167795
2020-01-05,0,56,Wyoming,state,2020-03-13,,-66,2020-03-11,1.1514037634081635
2020-01-05,0,13,Georgia,state,2020-03-14,2020-04-03,-57,2020-03-02,0.9433639129565927
2020-01-05,0,28,Mississippi,state,2020-03-14,2020-03-31,-66,2020-03-11,0.8376177240952295
2020-01-05,0,23,Maine,state,2020-03-15,2020-04-02,-67,2020-03-12,0.8513318348955448
2020-01-05,0,40,Oklahoma,state,2020-03-15,,-61,2020-03-06,1.0515597698302233
2020-01-05,0,54,West Virginia,state,2020-03-16,2020-03-24,-72,2020-03-17,0.886140868622696
2020-01-05,0,19,Iowa,state,2020-03-17,,-63,2020-03-08,0.8489304103246657
2020-01-05,0,48,Texas,state,2020-03-19,2020-04-02,-38,2020-02-12,0.9135982853518937
2020-01-06,0,53,Washington,state,2020-02-29,2020-03-23,-15,2020-01-21,0.9764774582007002
2020-01-06,0,06,California,state,2020-03-04,2020-03-19,-19,2020-01-25,1.0106472985336197
2020-01-06,0,15,Hawaii,state,2020-03-04,2020-03-25,-60,2020-03-06,1.2223721083720467
2020-01-06,0,24,Maryland,state,2020-03-05,2020-03-30,-59,2020-03-05,0.9802352828470742
2020-01-06,0,18,Indiana,state,2020-03-06,2020-03-24,-60,2020-03-06,0.884802067641914
2020-01-06,0,21,Kentucky,state,2020-03-06,2020-03-26,-60,2020-03-06,0.9332521314667385
2020-01-06,0,42,Pennsylvania,state,2020-03-06,2020-04-01,-60,2020-03-06,0.9714502803074995
2020-01-06,0,49,Utah,state,2020-03-06,,-50,2020-02-25,1.03123567694388
2020-01-06,0,36,New York,state,2020-03-07,2020-03-22,-55,2020-03-01,1.0176714688155173
